𨰾	鎷
𨱈	鋉
𨱋	錂
𨱍	鎯
𨱎	鍮
𨳉	⿵門乀 xiā
𨷿	䦳
𨹧	⿰阝麦 líng
𩈜	⿰面𠂤 duī
𩉜	鞿
𩉾	⿰革甲 xiá
𩌊	⿹⿰⿳士冖一殳革 xuè
𩎢	⿰韋⿱屮又 tāo
𩏼	䪏
𩏾	⿰韦⿱屮又 tāo
𩓣	⿰⿱彡立頁 xū
𩖕	⿰⿱彡立页 xū
𩜇	⿰飠卷 juǎn
𩞁	⿸麻食 mó
𩞆	⿰飠從 chuáng
𩠉	⿰饣卷 juǎn
𩧐	⿰馬橐 tuō
𩧪	䮾
𩧫	駚
𩨁	䮞
𩭹	鬖
𩮜	⿱髟剔 tì
𩴂	⿺鬼重 xiōng
𩾇	鯱
𩿼	⿱鳥甲 yā
𪀋	⿹[减笔]鳥灬甲 yā
𪉁	歍
𪉃	鳼
𪍠	⿱⿰⿳士冖一殳麥 kū
𪎈	䴬
𪎉	麲
𪎊	麨
𪎋	䴴
𪎭	⿸麻黍 méi
𪏙	⿹⿰⿳士冖一殳黄 huáng
𪑅	䵳
𪑒	⿰黑享 tùn
𪒟	⿰黑曾 zèng
𪕷	⿱⿰⿳士冖一殳鼠 gǔ
𪕸	⿹⿰⿳士冖一殳鼠 gǔ
𪚇	⿰齒贊 zá
𪞝	凙
𪠏	𥀬
𪠳	唓
𪠸	嚛
𪠽	噹
𪡀	嘺
𪡃	嘪
𪡋	噞
𪡏	嗹
𪡞	嘳
𪡺	⿰口赉 lài
𪢕	嚽
𪢠	囒
𪢮	圞
𪢸	墲
𪣆	埬
𪣒	堚
𪣝	⿰土皂 zào
𪥫	孇
𪥰	嬣
𪥿	嬻
𪧀	孾
𪧘	寠
𪨇	⿺兀贵 tuí
𪨊	㞞
𪨗	屩
𪨧	崙
𪨷	巗
𪩎	巊
𪩷	幝
𪩸	幩
𪪏	廬
𪪞	廧
𪪼	彃
𪫌	徿
𪫺	憸
𪭢	摐
𪭧	擟
𪭵	掚
𪭾	撊
𪮃	㨻
𪮋	㩋
𪮖	撧
𪮳	𢺳
𪮶	攋
𪯋	㪎
𪰶	曊
𪱪	⿰月⿱龹火 téng
𪱷	梖
𪱾	檷
𪲎	櫅
𪲔	欐
𪲮	櫠
𪳍	欇
𪴙	欑
𪵁	⿰歹⿱屮又 tāo
𪵑	毊
𪵱	濿
𪶄	溡
𪷍	㵾
𪸕	熂
𪸩	煇
𪹳	爥
𪺭	犞
𪺷	獊
𪺽	猌
𪻐	瑽
𪻕	⿰王古 gǔ
𪻨	瓄
𪻲	瑻
𪻺	璝
𪽈	畼
𪾔	盨
𪾦	矑
𪿫	礮
𫁂	䆉
𫂈	䉬
𫂱	⿲丿米丨 yuān
𫄙	糺
𫄛	紟
𫄟	絁
𫄠	絙
𫄤	繨
𫄩	䋦
𫄫	綟
𫄬	緤
𫄭	緮
𫄴	繂
𫄶	繦
𫇘	𦧺
𫇛	艣
𫇦	𤇾
𫇴	蒭
𫈰	⿱艹洽 qià
𫉁	薆
𫉄	藷
𫊱	蠒
𫋌	蟘
𫌇	襵
𫌨	覼
𫌪	覛
𫌭	覹
𫍙	訑
𫍟	⿰讠㐌 yí
𫍡	詑
𫍢	譊
𫍥	誂
𫍴	謱
𫍻	譆
𫍿	譾
𫎆	豵
𫎦	贚
𫎫	贉
𫎬	贑
𫎭	䞓
𫏋	蹻
𫏐	蹔
𫐅	軕
𫐉	軨
𫐊	軬
𫐌	軿
𫐑	輨
𫐕	轊
𫐖	轇
𫐘	轗
𫓩	鏦
𫓪	鈆
𫓰	銊
𫓴	鉾
𫔀	鍊
𫔇	鎞
𫔭	開
𫔮	閒
𫔰	閞
𫔴	閵
𫕚	𩀨
𫕥	霣
𫖃	靧
𫖅	䪊
𫖇	鞾
𫖒	韠
𫖔	韛
𫖕	韝
𫖸	願
𫖹	顣
𫗞	飦
𫗠	餦
𫗦	餔
𫗩	饠
𫗪	餧
𫗫	餬
𫗭	餵
𫗮	餭
𫗯	餱
𫗰	䭔
𫗵	饟
𫘞	駞
𫘤	騃
𫘭	騻
𫘯	驓
𫚈	鱮
𫚉	魟
𫚒	鮄
𫚔	鮰
𫚜	䲅
𫚣	鯾
𫚥	鰕
𫚦	鰫
𫛚	鳽
𫛜	鴀
𫛞	鴃
𫛟	鸗
𫛣	鴥
𫛩	鴳
𫛪	鴽
𫛰	䳢
𫛲	鵰
𫛳	鵩
𫛴	鷤
𫛶	鶒
𫛸	鶗
𫜑	麷
𫜒	䴱
𫜔	䴽
𫜕	⿱⿰⿳士冖一殳麦 kū
𫜙	䵴
𫜨	䶕
𫜩	齧
𫜪	齩
𫜬	齰
𫜰	齾
𫜲	龓
𫝀	⿻丄𠃍
𫝦	㛝
𫝨	媈
𫝩	嬦
𫝫	婡
𫝬	嬇
𫝭	孆
𫝮	孄
𫝵	嶹
𫞗	潣
𫞚	澬
𫞝	灍
𫞠	爧
𫞡	爃
𫞥	珼
𫞦	璾
𫞨	璼
𫟃	絍
𫟵	鈗
𫠁	鑉
𫠐	魽
𫠦	⿱一⿲丨[右下包围]丿丶亇 suǒ
𫢃	⿱吂⿲月呈凡 chéng chěng
𫢒	儱
𫢙	働
𫢪	僆
𫢬	僗
𫢭	儰
𫢺	傪
𫣉	儖
𫣊	僾
𫦉	⿰娄刂 lóu
𫧯	卨
𫧿	贕
𫩕	嚝
𫩛	㗰
𫩫	嚈
𫩳	⿰口伪
𫩺	嚍
𫪁	唻
𫪃	囇
𫪘	𡂿
𫪡	⿱吅冊
𫪧	嘄
𫫦	嚪
𫫾	嚬
𫭞	塼
𫭨	墢
𫭪	墝
𫭲	壧
𫮅	墋
𫯥	奯
𫰂	奲
𫰍	媁
𫰐	婜
𫰡	嬅
𫰢	嬒
𫰰	嬐
𫰹	嫢
𫱿	⿱⿰齿可女 qiā
𫲸	寷
𫵘	⿸尸必 bī
𫵵	崵
𫵼	⿱山更 gēng
𫶅	㠁
𫶕	巆
𫷅	㡓
𫷬	庲
𫷮	廕
𫷹	廔
𫷾	廮
𫹮	懙
𫹴	愇
𫹽	慯
𫺁	㤲
𫺂	悏
𫺊	懠
𫺌	愩
𫺘	憦
𫺷	戁
𫼝	搊
𫼟	摥
𫼣	𢳂
𫼧	撶
𫼮	擃
𫼱	摃
𫽀	㨥
𫽁	摙
𫽋	攞
𫽣	摪
𫽮	攩
𫾃	⿰扌萧 xiāo
𬀮	㬣
𬀱	暟
𬁠	曏
𬁢	曫
𬂀	膶
𬂁	⿰月君 jùn
𬂉	賸
𬂠	橅
𬂮	榝
𬂰	檂
𬃀	槻
𬃘	樲
𬃡	⿰木急 yìn yǐn
𬄩	櫽
𬅉	欗
𬅢	㰰
𬅥	歄
𬅫	歕
𬆦	毄
𬆮	鷇
𬇘	漙
𬇰	㵍
𬈁	潬
𬈕	㵒
𬈜	濴
𬈧	濇
𬉋	瀢
𬉏	瀩
𬊂	煼
𬊉	燵
𬊍	燽
𬊎	熕
𬊖	燘
𬊜	𤓓
𬊵	爣
𬊶	爁
𬊺	燰
𬊾	㸐
𬌛	㹂
𬌝	犓
𬌮	獟
𬌷	㺑
𬍙	琖
𬎑	瓓
𬏟	㾵
𬏦	癈
𬑗	瞷
𬒎	䃘
𬓫	龝
𬓸	䵘
𬓼	穨
𬖑	粯
𬘖	絸
𬘜	䋎
𬘝	紾
𬘠	絠
𬘢	絖
𬘤	絽
𬘵	縆
𬘷	縒
𬘺	縚
𬙆	繙
𬙎	罏
𬛼	轝
𬜠	⿱艹勹 fú
𬞕	蘭
𬟪	覤
𬠅	蟷
𬠰	蛍
𬡇	褭
